DIEM_QUAN_TRAC,XA,HUYEN,NHIET_DO,PH,DO,DO_MAN,DO_TRONG,DO_KIEM,NO2,NO3,NH4,PO43,COD,VIBRIO_TONG_SO_CFU_ML,VIBRIO_PARAHAEMOLYTICUS_CFU_ML,VIBRIO_LOG,NAM,THANG,NGAY,LABEL_VIBRIO_RISK,LABEL_VIBRIO_LEVEL,LABEL_MOI_TRUONG_TOM,LABEL_TAO_THUC_AN
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,27,8.2,4.0,24,30,136.5,0.04,0.82,0.0,0.09,21.0,850.0,9.9,6.746412128573375,2025,9,19,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,7.6,5.0,28,30,157.0,0.07,0.81,0.12,0.0,22.0,140.0,9.9,4.948759890378168,2025,7,10,1,1,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,7.9,5.0,28,25,137.0,0.09,1.03,0.11,0.29,17.0,35000.0,9.9,10.463131911491969,2025,7,31,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.4,4.0,25,35,146.0,0.03,0.78,0.1,0.07,27.0,690.0,9.9,6.53813982376767,2025,9,25,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,8.5,4.0,24,25,123.0,0.03,0.43,0.08,0.06,19.0,30.0,9.9,3.4339872044851463,2023,11,30,0,0,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,27,8.2,3.0,22,20,130.0,0.0,0.51,0.67,0.0,22.0,100.0,9.9,4.61512051684126,2023,8,24,1,1,1,1
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,8.0,5.0,28,30,157.0,0.66,1.51,0.0,0.32,25.0,2500.0,9.9,7.824445930877619,2025,7,8,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,27,7.1,5.0,18,25,117.0,0.22,0.143,0.414,0.143,24.2,13000.0,0.9,9.472781556562168,2024,9,12,2,2,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,7.8,5.0,15,10,125.0,0.346,0.37,1.47,0.106,24.2,7000.0,0.9,8.853808274977197,2024,10,17,2,2,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,29,7.3,5.0,24,20,157.5,0.95,2.03,1.11,0.2,28.0,9.9,9.9,2.388762789235098,2023,6,29,0,0,1,1
Sông Cái Ngay,Hàng Vịnh,Năm Căn,30,8.5,3.5,20,20,121.0,0.137,0.176,0.413,0.055,16.8,12000.0,0.9,9.39274525863144,2024,11,29,2,2,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.0,3.0,14,20,115.0,0.202,0.227,1.47,0.029,17.5,1600.0,0.9,7.378383712996714,2024,9,26,2,2,1,1
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,8.1,5.0,22,20,116.0,0.08,0.268,0.37,0.083,23.0,29000.0,0.9,10.275085591132717,2024,12,6,2,2,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,27,8.0,5.0,20,25,102.0,0.03,0.57,0.49,0.0,24.0,1600.0,9.9,7.378383712996714,2023,10,12,2,2,2,2
Sông Cửa Lớn ,Sông Cửa Lớn ,Năm Căn,29,8.0,4.5,25,20,118.0,0.024,0.21,0.53,0.14,14.6,0.9,0.9,0.6418538861723948,2023,7,12,0,0,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,29,7.3,3.0,20,20,89.0,0.06,0.71,0.71,0.09,18.0,9.9,9.9,2.388762789235098,2023,7,19,0,0,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,6.9,5.0,19,20,107.0,0.177,0.174,0.295,0.074,27.5,6000.0,0.9,8.699681400989514,2024,9,12,2,2,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,26,7.4,5.0,15,20,121.0,0.348,0.409,0.932,0.065,23.3,9100.0,0.9,9.116139576577355,2024,10,10,2,2,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.0,4.0,29,25,117.0,0.08,0.78,0.15,0.08,31.0,8800.0,120.0,9.082620630373812,2025,7,3,2,2,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,7.8,5.0,27,25,123.0,0.05,0.83,0.18,0.08,27.0,12000.0,9.9,9.39274525863144,2025,7,3,2,2,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,8.0,5.0,27,35,111.0,0.11,0.88,0.09,0.13,14.0,520.0,9.9,6.255750041753367,2025,8,14,2,2,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,29,7.9,4.0,30,25,117.5,0.02,1.2,0.33,0.08,25.0,160.0,9.9,5.081404364984463,2023,6,15,1,1,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,7.1,4.0,14,25,115.0,0.049,0.608,0.381,0.085,16.9,2000.0,0.9,7.601402334583733,2024,9,5,2,2,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,7.6,4.0,24,20,148.0,0.132,0.17,0.3,0.13,12.2,27.0,0.9,3.332204510175204,2022,9,20,0,0,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,7.6,5.0,24,30,133.0,0.05,0.95,0.0,0.0,18.0,5000.0,9.9,8.517393171418904,2025,9,25,2,2,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,29,7.7,4.0,24,25,131.0,0.02,0.26,0.38,0.07,12.8,0.9,0.9,0.6418538861723948,2022,10,25,0,0,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,7.7,4.0,21,20,104.0,0.209,0.672,1.36,0.066,24.1,6800.0,0.9,8.824824939175638,2024,10,24,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.2,4.0,20,25,109.5,0.1,0.83,0.71,0.0,25.0,120.0,9.9,4.795790545596741,2023,8,3,1,1,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,7.9,3.5,26,15,135.0,0.12,0.45,0.15,0.34,10.6,0.9,0.9,0.6418538861723948,2022,8,9,0,0,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,7.7,3.5,25,25,101.0,0.25,0.22,0.29,0.15,11.4,0.9,0.9,0.6418538861723948,2022,9,6,0,0,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,8.5,3.0,21,25,102.0,0.06,0.65,1.74,0.07,24.0,9.9,9.9,2.388762789235098,2023,11,2,0,0,1,2
Sông Cái Ngay,Sông Cái Ngay,Năm Căn,27,8.0,3.5,25,26,105.0,0.039,0.37,0.21,0.06,6.35,0.9,0.9,0.6418538861723948,2022,7,26,0,0,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,7.9,4.0,29,20,120.0,0.04,1.49,3.12,0.91,34.0,130.0,9.9,4.875197323201151,2023,6,15,1,1,1,1
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,7.4,4.0,24,20,142.5,0.53,0.76,0.4,0.3,16.0,9.9,9.9,2.388762789235098,2023,7,6,0,0,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,27,7.0,4.0,24,20,97.0,0.02,0.19,0.86,0.0,22.0,9.9,9.9,2.388762789235098,2023,7,6,0,0,1,1
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,29,8.2,3.5,20,15,59.0,0.02,0.58,0.39,0.0,18.0,9.9,9.9,2.388762789235098,2023,8,31,0,0,1,1
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,7.7,4.0,25,25,210.0,0.01,0.1,0.26,0.14,8.14,0.9,0.9,0.6418538861723948,2022,7,5,0,0,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.3,4.0,23,25,110.0,0.005,0.199,0.231,0.0,8.22,0.9,0.9,0.6418538861723948,2022,11,15,0,0,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,7.9,5.0,20,15,100.0,0.123,0.229,1.12,0.045,23.9,220000.0,0.9,12.301387370778713,2024,7,25,2,2,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,8.3,4.0,29,25,161.0,0.74,1.57,0.0,0.33,27.0,13000.0,9.9,9.472781556562168,2025,7,8,2,2,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,8.5,5.0,20,20,118.0,0.197,0.4,1.07,0.054,32.1,210000.0,0.9,12.25486757159303,2024,11,21,2,2,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,8.4,4.0,22,25,105.0,0.03,0.43,0.7,0.06,22.0,9.9,9.9,2.388762789235098,2023,11,23,0,0,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,8.1,3.5,24,15,168.0,0.037,0.25,0.51,0.27,10.4,51.0,0.9,3.951243718581428,2024,8,16,0,0,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,8.1,4.0,18,25,129.0,0.0,0.56,0.54,0.0,23.0,150.0,9.9,5.017279836814924,2023,8,17,1,1,2,2
Sông Nhưng Miên,Sông Nhưng Miên,Ngọc Hiển,28,8.0,4.5,26,20,109.0,0.034,0.35,0.19,0.055,8.95,0.9,0.9,0.6418538861723948,2022,7,26,0,0,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,8.1,5.0,21,20,105.0,0.013,0.64,0.517,0.021,8.46,8000.0,0.9,8.987321812850125,2024,8,15,2,2,2,1
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,7.6,4.0,25,25,140.0,0.126,0.17,0.25,0.14,11.6,0.9,0.9,0.6418538861723948,2022,9,27,0,0,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,8.0,4.5,28,25,115.0,0.07,1.36,2.77,1.02,18.0,140.0,9.9,4.948759890378168,2023,6,15,1,1,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,29,7.4,4.0,15,15,117.0,0.259,0.915,2.44,0.084,22.3,4100.0,0.9,8.31898612539206,2024,10,17,2,2,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,29,6.9,3.0,19,10,119.0,0.25,0.355,0.966,0.076,27.3,34000.0,0.9,10.434145214930489,2024,9,19,2,2,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,7.7,3.5,24,25,133.0,0.163,0.17,0.3,0.13,12.2,0.9,0.9,0.6418538861723948,2022,9,13,0,0,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,7.2,3.5,23,15,137.5,0.5,0.76,0.23,0.38,19.0,9.9,9.9,2.388762789235098,2023,7,6,0,0,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.8,3.0,20,15,110.0,0.07,0.65,1.08,0.06,18.0,500.0,9.9,6.2166061010848646,2023,11,9,2,2,1,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,30,8.3,3.5,22,20,107.0,0.103,0.161,1.08,0.089,20.9,140000.0,0.9,11.849404844423074,2024,12,6,2,2,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,8.5,4.0,24,25,119.0,0.03,0.42,0.11,0.06,27.0,9.9,9.9,2.388762789235098,2023,11,30,0,0,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,8.0,5.0,20,25,90.9,0.184,0.221,0.839,0.035,21.6,670000.0,0.9,13.415034483903348,2024,7,25,2,2,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,7.9,4.0,19,20,133.0,0.0,0.73,1.35,0.08,19.0,9.9,9.9,2.388762789235098,2023,9,14,0,0,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,7.8,5.0,27,35,112.0,0.07,0.84,0.07,0.14,18.0,420.0,9.9,6.042632833682381,2025,8,14,2,2,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.8,4.0,19,25,130.0,0.0,0.56,0.5,0.0,23.0,9.9,9.9,2.388762789235098,2023,8,17,0,0,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,8.3,5.0,19,20,125.0,0.104,0.132,0.428,0.086,14.6,37000.0,0.9,10.518700218288163,2024,11,29,2,2,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,29,7.8,3.5,26,25,114.0,0.196,0.17,1.63,0.25,9.93,0.9,0.9,0.6418538861723948,2022,7,19,0,0,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,27,8.5,4.0,21,20,122.0,0.113,0.16,0.774,0.069,25.6,5000.0,0.9,8.517393171418904,2024,11,29,2,2,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,27,8.0,4.0,22,25,89.0,0.0,0.57,0.46,0.0,19.0,9.9,9.9,2.388762789235098,2023,8,31,0,0,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,8.1,3.5,19,20,117.0,0.0,0.6,0.47,0.16,17.0,190.0,9.9,5.25227342804663,2023,8,10,1,1,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,7.7,4.0,17,20,122.0,0.219,0.177,0.744,0.063,26.1,6600.0,0.9,8.79497643168877,2024,10,30,2,2,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,8.4,4.0,21,20,117.0,0.03,0.74,1.19,0.06,39.0,300.0,9.9,5.707110264748875,2023,11,16,1,1,1,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,7.0,3.5,17,20,114.0,0.168,0.548,1.82,0.082,26.2,7400.0,0.9,8.909370405197466,2023,10,3,2,2,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,29,8.5,4.0,23,20,94.2,0.102,0.291,0.504,0.074,20.6,6300.0,0.9,8.748463629942055,2024,11,21,2,2,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,8.4,5.0,25,35,145.5,0.03,0.78,0.07,0.07,21.0,610.0,9.9,6.415096959171596,2025,9,25,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,7.6,4.0,19,20,99.0,0.0,0.55,0.78,0.15,23.0,9.9,9.9,2.388762789235098,2023,9,7,0,0,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,26,7.4,5.0,15,15,125.0,0.302,0.37,1.29,0.069,22.3,1000.0,0.9,6.90875477931522,2023,10,3,2,2,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,7.8,4.0,25,25,148.0,0.117,0.16,0.3,0.13,12.9,0.9,0.9,0.6418538861723948,2022,9,27,0,0,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,8.0,3.0,16,20,107.0,0.106,0.336,0.636,0.066,27.7,16000.0,0.9,9.680406499268877,2024,10,30,2,2,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.4,5.0,28,35,178.0,0.06,0.76,0.16,0.0,30.0,1500.0,9.9,7.313886831633462,2025,7,24,2,2,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,8.3,4.0,28,25,119.0,0.0,0.64,0.07,0.13,21.0,3700.0,9.9,8.216358332386156,2025,8,14,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,29,8.2,5.0,30,25,125.0,0.03,1.41,0.29,0.15,25.0,250.0,9.9,5.525452939131784,2023,6,15,1,1,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,8.1,3.5,21,20,79.0,0.02,0.57,0.38,0.0,21.0,80.0,9.9,4.394449154672439,2023,8,31,1,1,1,1
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,29,7.8,4.0,26,20,116.0,0.263,0.278,0.55,0.06,12.2,0.9,0.9,0.6418538861723948,2022,11,1,0,0,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,29,7.8,4.0,20,20,116.0,0.03,0.58,1.26,0.07,17.0,930.0,9.9,6.836259277277067,2023,10,26,2,2,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,29,8.1,4.5,21,25,133.0,0.0,0.51,0.7,0.0,23.0,9.9,9.9,2.388762789235098,2023,8,24,0,0,2,2
Sông Nhưng Miên,Sông Nhưng Miên,Ngọc Hiển,29,7.9,5.0,26,25,102.0,0.022,0.22,0.48,0.37,17.1,0.9,0.9,0.6418538861723948,2023,7,12,0,0,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,29,8.0,4.0,25,15,121.0,0.101,0.193,0.33,0.07,10.8,0.9,0.9,0.6418538861723948,2022,11,1,0,0,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,29,7.9,2.5,21,20,105.0,0.187,0.252,0.56,0.053,28.0,13000.0,0.9,9.472781556562168,2024,10,30,2,2,1,1
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,7.7,4.0,26,20,115.0,0.272,0.29,0.11,0.08,8.79,15.0,0.9,2.772588722239781,2022,10,18,0,0,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,7.8,4.0,25,35,130.5,0.03,0.89,0.11,0.09,26.0,1000.0,9.9,6.90875477931522,2025,11,9,2,2,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.9,4.0,23,25,136.0,0.035,0.18,0.45,0.21,10.7,80.0,0.9,4.394449154672439,2024,8,16,1,1,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,27,7.7,5.0,24,25,129.0,0.04,0.77,0.09,0.0,22.0,430.0,9.9,6.066108090103747,2025,4,9,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,30,8.3,3.0,18,20,128.0,0.191,0.345,0.966,0.079,19.0,15000.0,0.9,9.61587214452889,2024,11,6,2,2,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,29,8.2,4.0,24,25,158.0,0.036,0.11,0.57,0.26,11.1,23.0,0.9,3.1780538303479458,2023,8,16,0,0,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,29,8.3,3.5,21,20,113.0,0.92,2.01,0.78,0.1,27.0,80.0,9.9,4.394449154672439,2023,8,10,1,1,1,1
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,7.5,3.5,25,15,109.0,0.222,0.17,0.3,0.15,10.4,16.0,0.9,2.833213344056216,2022,9,6,0,0,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,8.5,4.0,23,25,125.0,0.03,0.46,0.07,0.06,21.0,9.9,9.9,2.388762789235098,2023,11,30,0,0,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,29,8.2,4.0,26,25,142.0,0.079,0.28,0.19,0.15,8.3,48.0,0.9,3.8918202981106265,2022,8,9,0,0,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,8.1,4.0,21,20,112.0,0.05,0.63,1.82,0.08,27.0,9.9,9.9,2.388762789235098,2023,11,2,0,0,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,7.9,4.0,20,25,83.0,0.0,0.55,0.54,0.0,19.0,150.0,9.9,5.017279836814924,2023,8,17,1,1,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,8.0,5.0,20,15,98.0,0.78,1.98,0.43,0.44,24.0,700.0,9.9,6.55250788703459,2023,8,10,2,2,1,1
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,8.2,4.0,21,20,105.0,0.03,0.73,1.22,0.06,28.0,9.9,9.9,2.388762789235098,2023,11,16,0,0,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,30,8.0,5.0,20,15,93.0,0.14,0.87,0.64,0.48,28.0,9.9,9.9,2.388762789235098,2023,10,19,0,0,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,27,7.6,2.5,17,20,107.0,0.38,0.861,2.39,0.093,29.3,6600.0,0.9,8.79497643168877,2024,10,17,2,2,1,1
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,27,7.9,5.0,28,25,129.0,0.0,0.71,0.17,0.07,19.0,320.0,9.9,5.771441123130016,2025,7,17,1,1,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,7.4,3.0,19,20,83.0,0.02,0.65,0.76,0.17,26.0,80.0,9.9,4.394449154672439,2023,9,7,1,1,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.0,4.0,26,20,132.0,0.293,0.28,0.11,0.05,12.5,120.0,0.9,4.795790545596741,2022,8,2,1,1,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,7.9,4.0,22,20,116.0,0.0,0.49,1.52,0.0,21.0,9.9,9.9,2.388762789235098,2023,9,28,0,0,2,1
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,29,7.7,4.0,22,25,110.0,0.005,0.203,0.233,0.0,10.5,0.9,0.9,0.6418538861723948,2022,8,11,0,0,2,2
