DIEM_QUAN_TRAC,XA,HUYEN,NHIET_DO,PH,DO,DO_MAN,DO_TRONG,DO_KIEM,NO2,NO3,NH4,PO43,COD,VIBRIO_TONG_SO_CFU_ML,VIBRIO_PARAHAEMOLYTICUS_CFU_ML,VIBRIO_LOG,NAM,THANG,NGAY,LABEL_VIBRIO_RISK,LABEL_VIBRIO_LEVEL,LABEL_MOI_TRUONG_TOM,LABEL_TAO_THUC_AN
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,8.1,4.0,19,20,108.0,0.06,0.61,1.2,0.06,17.0,620.0,9.9,6.431331081933479,2023,11,9,2,2,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,27,8.0,5.0,24,30,126.0,0.06,0.83,0.0,0.09,13.0,280.0,9.9,5.638354669333745,2025,9,19,1,1,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,27,7.7,3.5,22,20,148.0,0.11,0.18,0.26,0.14,11.3,38.0,0.9,3.6635616461296463,2022,9,20,0,0,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,29,7.5,3.5,20,20,103.0,0.02,0.56,0.82,0.14,24.0,90.0,9.9,4.51085950651685,2023,9,7,1,1,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,7.9,4.0,27,20,137.0,0.05,0.83,0.21,0.0,24.0,15000.0,9.9,9.61587214452889,2025,7,3,2,2,2,1
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,27,8.2,5.0,20,20,97.2,0.186,0.254,0.751,0.063,21.1,800.0,0.9,6.68586094706836,2024,11,14,2,2,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,8.5,4.0,29,25,155.0,0.64,1.46,0.0,0.32,19.0,2000.0,9.9,7.601402334583733,2025,7,8,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,30,7.8,5.0,24,20,135.0,1.19,2.1,1.44,0.2,25.0,9.9,9.9,2.388762789235098,2023,6,29,0,0,1,1
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,27,8.3,5.0,24,30,146.0,0.05,0.85,0.0,0.09,20.0,160.0,9.9,5.081404364984463,2025,9,19,1,1,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,29,7.8,3.0,16,20,133.0,0.328,0.608,1.15,0.053,32.9,18000.0,0.9,9.798182590890704,2024,10,24,2,2,1,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,8.0,3.5,18,20,118.0,0.118,0.476,0.491,0.041,29.5,32000.0,0.9,10.373522431293592,2024,10,30,2,2,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,29,7.6,4.0,20,25,126.0,0.03,0.61,1.39,0.06,23.0,9.9,9.9,2.388762789235098,2023,10,26,0,0,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,7.6,5.0,25,35,125.5,0.05,0.89,0.08,0.0,24.0,2700.0,9.9,7.901377353792616,2025,11,9,2,2,2,2
Sông Rạch Tàu,Sông Rạch Tàu,Ngọc Hiển,29,7.8,4.0,26,25,109.0,0.051,0.26,0.34,0.19,8.62,12.0,0.9,2.5649493574615367,2022,7,26,0,0,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,7.4,3.0,19,20,126.0,0.03,0.59,1.56,0.09,24.0,9.9,9.9,2.388762789235098,2023,10,12,0,0,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,30,8.2,5.0,19,25,91.5,0.157,0.522,1.26,0.073,15.8,2900.0,0.9,7.972810784121404,2024,11,6,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,7.2,4.0,20,20,108.0,0.08,1.1,1.65,0.0,23.0,350.0,9.9,5.860786223465865,2023,7,27,1,1,1,1
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,29,8.0,4.5,23,20,169.0,1.239,0.39,2.09,0.42,30.9,670.0,33.0,6.508769136971682,2022,8,30,2,2,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,27,7.5,3.5,20,10,118.0,0.296,0.673,1.38,0.06,27.0,7000.0,0.9,8.853808274977197,2024,10,10,2,2,1,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,8.6,4.0,22,20,90.0,0.03,0.54,0.71,0.06,18.0,90.0,9.9,4.51085950651685,2023,11,23,1,1,1,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,7.9,3.5,20,20,100.0,0.0,0.47,1.25,0.08,23.0,9.9,9.9,2.388762789235098,2023,9,28,0,0,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,8.5,4.0,19,20,100.0,0.121,0.329,0.486,0.082,30.3,500.0,0.9,6.2166061010848646,2024,11,14,2,2,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,7.8,3.0,23,20,100.0,0.06,0.62,0.97,0.06,19.0,480.0,9.9,6.175867270105761,2023,11,9,2,2,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,7.9,5.0,19,25,105.0,0.1636,0.25,1.03,0.066,25.5,9000.0,0.9,9.105090961257083,2024,8,1,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,7.3,4.0,25,25,113.0,0.106,0.16,0.26,0.13,12.0,0.9,0.9,0.6418538861723948,2022,10,11,0,0,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,8.1,4.0,20,20,113.0,0.129,0.406,1.43,0.097,20.3,8000.0,0.9,8.987321812850125,2024,8,21,2,2,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,7.4,3.0,19,25,116.0,0.09,1.1,0.51,0.0,26.0,680.0,9.9,6.523562306149512,2023,7,27,2,2,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,6.9,3.5,15,20,116.0,0.203,0.256,1.66,0.053,17.9,700.0,0.9,6.55250788703459,2024,9,19,2,2,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,30,7.8,3.0,29,25,127.5,0.03,0.91,0.24,0.08,23.0,5400.0,9.9,8.594339400592892,2023,6,8,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,8.1,5.0,28,25,125.0,0.11,0.99,0.07,0.18,15.0,21000.0,9.9,9.952325334619427,2025,7,31,2,2,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.8,3.5,25,20,121.0,0.014,0.1,0.29,0.14,6.51,0.9,0.9,0.6418538861723948,2022,7,5,0,0,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,27,8.2,5.0,25,20,120.0,0.017,0.248,1.34,0.033,17.7,6300.0,0.9,8.748463629942055,2024,12,12,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,29,7.9,4.0,26,25,103.0,0.11,0.589,1.38,0.026,11.1,39000.0,0.9,10.5713425658087,2024,6,27,2,2,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,29,8.0,5.0,23,20,118.0,0.034,0.298,0.566,0.025,16.3,3000.0,0.9,8.006700845440367,2024,7,18,2,2,2,1
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,30,7.7,3.5,23,25,118.0,0.032,0.25,0.788,0.0,12.7,27000.0,0.9,10.203629181337648,2024,7,11,2,2,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,7.7,4.0,27,20,115.0,0.07,0.8,0.09,0.0,18.0,160.0,9.9,5.081404364984463,2025,7,10,1,1,2,1
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,30,8.3,3.5,22,20,129.0,0.155,0.422,0.875,0.067,18.5,23000.0,0.9,10.043292972227004,2024,11,21,2,2,1,2
Sông Cửa Lớn ,Sông Cửa Lớn ,Năm Căn,28,7.8,4.0,26,25,106.0,0.045,0.28,0.35,0.2,9.11,0.9,0.9,0.6418538861723948,2022,7,26,0,0,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,7.6,4.0,22,20,114.0,0.03,0.6,0.41,0.0,20.0,9.9,9.9,2.388762789235098,2023,10,12,0,0,2,1
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,27,7.4,5.0,24,25,139.0,0.0,0.74,0.18,0.0,24.0,110.0,9.9,4.709530201312334,2025,4,9,1,1,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,27,7.2,3.5,20,20,108.0,0.265,0.763,1.36,0.061,17.7,12000.0,0.9,9.39274525863144,2024,9,26,2,2,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,29,7.9,4.0,20,25,89.7,0.093,0.268,0.874,0.119,25.7,29000.0,0.9,10.275085591132717,2024,8,8,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,7.7,3.5,30,20,115.0,0.03,0.91,0.22,0.0,21.0,5200.0,9.9,8.556606193773073,2023,6,8,2,2,2,1
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,8.4,4.0,21,20,96.0,0.03,0.44,0.73,0.06,26.0,300.0,9.9,5.707110264748875,2023,11,23,1,1,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,29,7.2,3.5,20,20,118.0,0.02,0.59,0.44,0.0,18.0,9.9,9.9,2.388762789235098,2023,10,12,0,0,1,1
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.4,4.0,24,25,116.0,0.03,0.42,0.12,0.06,23.0,9.9,9.9,2.388762789235098,2023,11,30,0,0,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,27,7.8,5.0,28,25,123.0,0.0,0.72,0.19,0.0,17.0,480.0,9.9,6.175867270105761,2025,7,17,2,2,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,0.2,4.0,23,20,86.9,0.144,0.319,0.846,0.058,18.7,14000.0,0.9,9.546884034617923,2024,7,25,2,2,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,7.9,4.0,24,25,104.0,0.145,0.19,0.33,0.14,11.7,0.9,0.9,0.6418538861723948,2022,9,6,0,0,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,29,8.0,4.5,26,20,107.0,0.304,0.32,0.94,0.06,9.93,0.9,0.9,0.6418538861723948,2022,7,19,0,0,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,26,7.6,5.0,25,30,109.0,0.07,0.76,0.07,0.06,24.0,1300.0,9.9,7.170888478512505,2025,8,21,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,29,7.6,4.0,20,20,113.0,0.08,1.09,0.55,0.0,22.0,790.0,9.9,6.673297967767654,2023,7,27,2,2,2,1
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,29,8.1,3.0,21,20,100.0,0.18,0.93,0.62,0.08,32.0,30.0,9.9,3.4339872044851463,2023,10,19,0,0,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,8.0,4.0,26,25,155.0,0.53,1.58,1.89,0.13,30.0,9.9,9.9,2.388762789235098,2023,6,22,0,0,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.9,3.0,25,20,135.0,0.105,0.42,0.15,0.13,10.6,24.0,0.9,3.218875824868201,2022,8,9,0,0,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,30,7.9,5.0,33,25,120.0,0.018,0.086,0.498,0.143,9.93,84000.0,0.9,11.338583982516496,2024,6,13,2,2,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,29,7.6,4.0,30,25,135.0,0.6,1.6,2.64,0.13,24.0,50.0,9.9,3.9318256327243257,2023,6,22,0,0,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,27,7.5,4.0,24,25,102.0,0.006,0.241,0.265,0.0,9.53,0.9,0.9,0.6418538861723948,2022,11,15,0,0,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,6.9,5.0,16,20,107.0,0.263,0.83,1.66,0.042,24.4,3400.0,0.9,8.131824785007195,2023,10,3,2,2,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,8.3,4.0,26,30,123.0,0.03,0.95,0.0,0.19,17.0,3100.0,9.9,8.03947991910045,2025,11,9,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.0,4.0,24,25,140.0,0.831,0.41,0.83,0.22,43.3,970.0,54.0,6.878326468291325,2022,8,30,2,2,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,27,7.7,5.0,25,25,136.0,0.11,0.77,0.0,0.06,19.0,410.0,9.9,6.018593214496234,2025,8,28,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,8.1,4.0,24,25,130.0,0.371,0.3,0.33,0.16,16.6,0.9,0.9,0.6418538861723948,2022,8,23,0,0,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.1,5.0,29,25,145.0,0.06,0.63,0.07,0.0,20.0,130.0,9.9,4.875197323201151,2025,7,10,1,1,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.2,4.0,15,20,111.0,0.173,0.758,1.63,0.087,21.6,6100.0,0.9,8.716207971151853,2023,10,3,2,2,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,27,8.3,3.5,21,25,111.5,0.09,0.83,0.69,0.0,24.0,280.0,9.9,5.638354669333745,2023,8,3,1,1,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,27,7.7,5.0,25,25,135.0,0.11,0.73,0.0,0.07,30.0,490.0,9.9,6.19644412779452,2025,8,28,2,2,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,7.8,4.5,17,20,107.0,0.169,0.267,1.82,0.171,21.8,210000.0,0.9,12.25486757159303,2024,8,21,2,2,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,8.0,3.0,23,20,91.2,0.202,0.319,0.935,0.109,26.7,140000.0,0.9,11.849404844423074,2024,8,1,2,2,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.9,5.0,19,25,92.2,0.237,0.316,0.652,0.036,18.1,8000.0,0.9,8.987321812850125,2024,7,18,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,29,7.3,5.0,23,25,101.0,0.02,0.21,0.91,0.0,21.0,9.9,9.9,2.388762789235098,2023,7,6,0,0,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,29,8.1,3.0,21,20,112.0,0.0,0.73,1.41,0.28,18.0,50.0,9.9,3.9318256327243257,2023,9,14,0,0,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,7.9,4.0,27,30,120.0,0.1,0.76,0.07,0.14,23.0,340.0,9.9,5.831882477283517,2025,8,14,1,1,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,7.5,4.0,22,20,153.0,0.121,0.16,0.31,0.13,12.2,0.9,0.9,0.6418538861723948,2022,9,20,0,0,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.0,4.0,23,25,116.0,0.029,0.221,0.659,0.025,10.3,24000.0,0.9,10.085850775128716,2024,7,11,2,2,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.8,4.0,25,25,109.0,0.131,0.27,1.34,0.18,7.97,33.0,0.9,3.5263605246161616,2022,7,19,0,0,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,26,7.5,5.0,23,35,128.0,0.1,1.03,0.0,0.1,22.0,800.0,9.9,6.68586094706836,2025,9,19,2,2,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,29,7.9,4.0,23,20,130.0,0.92,2.01,1.49,0.2,23.0,9.9,9.9,2.388762789235098,2023,6,29,0,0,1,1
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,8.2,3.5,20,15,108.0,0.06,0.78,1.34,0.06,37.0,9.9,9.9,2.388762789235098,2023,11,16,0,0,1,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,8.0,5.0,19,20,98.0,0.09,0.82,0.8,0.07,21.0,600.0,9.9,6.398594934535208,2023,8,3,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,7.8,5.0,28,25,121.0,0.05,0.92,0.25,0.0,19.0,17000.0,9.9,9.741027444837728,2025,7,3,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.0,3.5,24,20,133.0,0.365,0.13,0.31,0.16,13.0,0.9,0.9,0.6418538861723948,2022,8,23,0,0,1,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,30,8.4,4.0,21,20,112.0,0.174,0.388,0.521,0.067,22.7,32000.0,0.9,10.373522431293592,2024,11,21,2,2,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,8.0,5.0,15,25,116.0,0.205,0.381,1.88,0.044,20.8,410000.0,0.9,12.923914877701906,2024,8,21,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,30,8.4,3.5,19,20,110.0,0.132,0.301,0.468,0.071,15.3,0.9,0.9,0.6418538861723948,2024,11,14,0,0,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.9,3.5,18,20,91.0,0.136,0.364,0.82,0.066,22.2,6000.0,0.9,8.699681400989514,2024,11,6,2,2,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,30,7.7,5.0,24,25,121.0,0.104,0.223,0.52,0.06,11.2,0.9,0.9,0.6418538861723948,2022,11,1,0,0,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,8.0,5.0,33,20,103.0,0.207,0.246,2.39,0.056,7.32,3400.0,0.9,8.131824785007195,2024,6,20,2,2,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,8.2,4.5,21,25,130.0,0.0,0.74,1.34,0.07,16.0,270.0,9.9,5.602118820879701,2023,9,14,1,1,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,30,7.7,4.0,24,20,118.0,0.232,0.29,0.1,0.08,9.76,110.0,0.9,4.709530201312334,2022,10,18,1,1,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,29,7.7,3.5,17,25,87.3,0.338,0.319,1.71,0.049,18.1,12000.0,0.9,9.39274525863144,2024,8,21,2,2,1,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,29,7.9,3.0,19,20,112.0,0.45,1.33,0.53,0.34,18.0,250.0,9.9,5.525452939131784,2023,8,17,1,1,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,8.0,5.0,26,15,121.0,0.113,0.26,0.656,0.021,10.6,9600.0,0.9,9.169622538697624,2024,6,27,2,2,1,1
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,8.4,5.0,24,20,110.0,0.014,0.179,0.925,0.03,22.9,4400.0,0.9,8.38958706681109,2024,12,12,2,2,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,29,7.9,3.5,23,25,89.4,0.148,0.301,0.903,0.103,26.8,5000.0,0.9,8.517393171418904,2024,7,25,2,2,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,8.5,4.0,21,20,109.0,0.03,0.73,1.18,0.06,33.0,350.0,9.9,5.860786223465865,2023,11,16,1,1,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,7.5,4.0,24,25,105.0,0.105,0.16,0.25,0.14,11.4,0.9,0.9,0.6418538861723948,2022,10,11,0,0,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.9,4.0,23,25,130.0,0.389,0.21,0.28,0.15,16.9,0.9,0.9,0.6418538861723948,2022,8,23,0,0,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,7.2,4.0,23,25,126.0,0.18,0.9,0.1,0.06,19.0,2100.0,9.9,7.650168700845001,2025,4,9,2,2,2,2
Sông Cái Ngay,Sông Cái Ngay,Năm Căn,28,7.8,4.0,25,25,109.0,0.024,0.2,0.59,0.35,14.6,0.9,0.9,0.6418538861723948,2023,7,12,0,0,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,7.3,4.0,21,20,97.0,0.06,0.73,0.54,0.42,18.0,9.9,9.9,2.388762789235098,2023,7,19,0,0,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.6,4.0,24,25,101.0,0.21,0.3,0.35,0.16,13.3,20.0,0.9,3.044522437723423,2022,9,6,0,0,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,27,8.2,4.0,24,25,148.0,0.876,0.54,1.35,0.27,35.6,400.0,66.0,5.993961427306569,2022,8,30,1,1,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,8.0,4.0,21,25,108.0,0.0,0.46,1.35,0.08,19.0,9.9,9.9,2.388762789235098,2023,9,28,0,0,2,2
