DIEM_QUAN_TRAC,XA,HUYEN,NHIET_DO,PH,DO,DO_MAN,DO_TRONG,DO_KIEM,NO2,NO3,NH4,PO43,COD,VIBRIO_TONG_SO_CFU_ML,VIBRIO_PARAHAEMOLYTICUS_CFU_ML,VIBRIO_LOG,NAM,THANG,NGAY,LABEL_VIBRIO_RISK,LABEL_VIBRIO_LEVEL,LABEL_MOI_TRUONG_TOM,LABEL_TAO_THUC_AN
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,7.5,5.0,24,30,127.0,0.05,0.96,0.0,0.0,23.0,16000.0,9.9,9.680406499268877,2025,9,25,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,27,7.8,5.0,26,25,123.0,0.0,0.0,0.65,0.0,20.0,33.0,9.9,3.5263605246161616,2025,8,21,0,0,2,1
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,26,7.6,4.0,24,25,113.0,0.0,0.75,0.0,0.06,15.0,150.0,9.9,5.017279836814924,2025,8,28,1,1,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,8.3,4.0,18,25,116.0,0.0,0.58,0.52,0.1,18.0,80.0,9.9,4.394449154672439,2023,8,10,1,1,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,7.5,3.0,24,25,115.0,0.104,0.16,0.27,0.12,11.1,0.9,0.9,0.6418538861723948,2022,10,11,0,0,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,29,8.0,3.5,30,20,115.0,0.02,1.14,0.32,0.0,24.0,140.0,9.9,4.948759890378168,2023,6,15,1,1,1,1
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,7.1,4.0,23,25,107.0,0.005,0.217,0.268,0.0,13.2,0.9,0.9,0.6418538861723948,2022,11,15,0,0,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,27,7.6,3.0,26,20,125.0,0.11,0.17,0.29,0.13,8.46,0.9,0.9,0.6418538861723948,2022,4,10,0,0,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,27,8.1,5.0,19,20,87.0,0.0,0.58,0.58,0.0,25.0,9.9,9.9,2.388762789235098,2023,8,17,0,0,2,1
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.3,4.0,19,25,122.0,0.03,0.59,1.34,0.08,21.0,250.0,9.9,5.525452939131784,2023,10,12,1,1,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,7.4,4.0,25,15,95.0,0.02,0.4,0.88,0.0,20.0,9.9,9.9,2.388762789235098,2023,7,6,0,0,1,1
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.0,5.0,28,30,122.0,0.0,0.62,0.08,0.18,18.0,3900.0,9.9,8.268988209506656,2025,8,14,2,2,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,8.4,5.0,26,20,117.0,0.015,0.294,1.66,0.046,21.0,9200.0,0.9,9.12706745278236,2024,12,12,2,2,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,30,7.7,4.0,21,25,126.0,0.134,0.271,1.46,0.051,20.5,5000.0,0.9,8.517393171418904,2024,8,1,2,2,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,7.0,4.0,23,25,121.0,0.16,0.89,0.11,0.06,24.0,1200.0,9.9,7.090909822079984,2025,4,9,2,2,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,7.8,3.5,27,20,101.0,0.01,0.12,0.28,0.13,8.14,0.9,0.9,0.6418538861723948,2022,7,5,0,0,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,8.3,5.0,29,30,155.0,0.07,0.67,0.08,0.11,18.0,540.0,9.9,6.293419278846481,2025,7,31,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,29,8.4,4.0,20,20,128.0,0.0,0.52,0.69,0.0,20.0,220.0,9.9,5.3981627015177525,2023,8,24,1,1,2,1
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,7.6,4.0,22,25,127.5,0.9,1.95,1.47,0.2,27.0,9.9,9.9,2.388762789235098,2023,6,29,0,0,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,26,7.4,4.0,16,15,126.0,0.188,0.524,1.46,0.074,26.2,10000.0,0.9,9.210440366976515,2024,10,10,2,2,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,8.1,3.0,22,20,89.2,0.192,0.328,0.997,0.107,25.5,120000.0,0.9,11.695255355062796,2024,8,8,2,2,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,8.3,4.0,22,25,108.0,0.03,0.47,0.71,0.0,25.0,9.9,9.9,2.388762789235098,2023,11,23,0,0,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,29,7.9,5.0,32,25,113.0,0.015,0.068,0.262,0.112,9.27,10000.0,0.9,9.210440366976515,2024,6,13,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,8.0,4.0,25,15,115.0,0.02,0.25,0.36,0.08,13.8,36.0,0.9,3.610917912644224,2022,10,25,0,0,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,29,7.7,4.5,24,25,107.0,0.004,0.226,0.269,0.0,10.8,0.9,0.9,0.6418538861723948,2022,8,11,0,0,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,7.8,3.5,20,25,122.0,0.128,0.253,1.24,0.048,21.2,860000.0,0.9,13.664688831019712,2024,8,8,2,2,1,2
Sông Rạch Gốc,Sông Rạch Gốc,Ngọc Hiển,28,7.8,4.0,26,20,113.0,0.32,0.19,0.15,0.16,9.27,0.9,0.9,0.6418538861723948,2022,7,26,0,0,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,7.0,3.0,14,15,105.0,0.157,0.253,0.368,0.153,30.3,21000.0,0.9,9.952325334619427,2024,9,12,2,2,0,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,26,7.2,4.0,25,30,119.0,0.07,0.76,0.14,0.06,22.0,2200.0,9.9,7.696667081526462,2025,8,21,2,2,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,7.8,3.5,21,25,77.4,0.038,0.25,0.788,0.031,25.5,11000.0,0.9,9.305741456739437,2024,7,18,2,2,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,29,8.0,4.0,26,25,138.0,0.083,0.19,0.34,0.07,8.46,0.9,0.9,0.6418538861723948,2022,8,9,0,0,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,27,7.8,3.5,26,25,147.5,0.86,2.01,1.07,0.2,26.0,9.9,9.9,2.388762789235098,2023,6,29,0,0,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,29,8.0,4.0,25,25,143.0,0.071,0.23,0.21,0.1,10.3,0.9,0.9,0.6418538861723948,2022,8,9,0,0,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,30,7.8,5.0,25,30,120.0,0.023,0.28,0.29,0.08,13.5,0.9,0.9,0.6418538861723948,2022,10,25,0,0,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,29,8.2,3.5,20,20,131.0,0.06,0.66,1.71,0.07,25.0,270.0,9.9,5.602118820879701,2023,11,2,1,1,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,26,6.9,3.5,15,20,123.0,0.317,0.569,1.43,0.062,24.3,3100.0,0.9,8.03947991910045,2024,9,26,2,2,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,29,8.0,4.0,20,15,104.0,0.0,0.46,1.08,0.07,23.0,9.9,9.9,2.388762789235098,2023,9,28,0,0,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,7.7,3.0,26,20,105.0,0.021,0.26,0.48,0.06,13.8,45.0,0.9,3.828641396489095,2022,10,25,0,0,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,7.7,5.0,20,20,86.3,0.086,0.122,0.905,0.132,23.3,200000.0,0.9,12.206077645517674,2024,8,8,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,7.2,4.0,20,20,78.0,0.17,0.6,1.51,0.16,29.0,680.0,9.9,6.523562306149512,2023,10,5,2,2,1,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,26,7.3,4.5,23,20,117.0,0.63,0.87,0.39,0.32,18.0,9.9,9.9,2.388762789235098,2023,7,6,0,0,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,7.8,4.0,29,20,125.0,0.02,0.9,0.23,0.0,22.0,2200.0,9.9,7.696667081526462,2023,6,8,2,2,2,1
Sông Cái Ngay,Hàng Vịnh,Năm Căn,30,7.8,5.0,27,25,117.0,0.087,0.216,1.21,0.036,10.6,26000.0,0.9,10.165890277802454,2024,6,27,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,27,8.1,4.0,20,20,73.0,0.0,0.58,0.38,0.0,18.0,9.9,9.9,2.388762789235098,2023,8,31,0,0,1,1
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,6.7,4.0,16,20,101.0,0.178,0.274,1.63,0.079,24.4,10000.0,0.9,9.210440366976515,2024,9,19,2,2,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.5,4.0,22,25,98.0,0.03,0.43,0.88,0.06,24.0,40.0,9.9,3.713572066704308,2023,11,23,0,0,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,27,7.8,4.0,21,20,146.5,0.17,1.06,1.48,0.49,22.0,200.0,9.9,5.303304908059076,2023,7,13,1,1,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,8.0,5.0,29,25,119.0,0.08,0.78,0.14,0.0,22.0,3800.0,9.9,8.24301946898925,2025,7,3,2,2,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,27,8.3,4.0,22,20,79.0,0.25,1.13,1.64,0.28,24.0,9.9,9.9,2.388762789235098,2023,9,14,0,0,1,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,7.4,3.5,24,20,172.0,0.116,0.24,1.05,0.331,11.2,0.9,0.9,0.6418538861723948,2022,11,22,0,0,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,8.1,3.0,19,20,109.0,0.125,0.347,0.627,0.059,25.9,1300.0,0.9,7.170888478512505,2024,11,14,2,2,1,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,8.4,4.0,20,20,86.0,0.0,0.54,0.58,0.7,25.0,200.0,9.9,5.303304908059076,2023,8,24,1,1,2,1
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,7.8,3.5,22,25,112.0,0.005,0.184,0.228,0.0,10.8,0.9,0.9,0.6418538861723948,2022,8,11,0,0,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,29,7.6,4.0,18,20,87.0,0.02,0.56,0.77,0.12,20.0,9.9,9.9,2.388762789235098,2023,9,7,0,0,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,29,7.8,5.0,30,25,117.5,0.0,0.84,0.26,0.0,28.0,1300.0,9.9,7.170888478512505,2023,6,8,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,29,7.6,4.5,17,20,101.0,0.057,0.544,0.611,0.0,8.46,7000.0,0.9,8.853808274977197,2024,8,15,2,2,2,1
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,27,8.0,5.0,19,20,125.0,0.03,0.62,1.21,0.06,18.0,150.0,9.9,5.017279836814924,2023,10,26,1,1,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,29,7.9,3.5,18,25,101.0,0.157,0.241,0.966,0.062,24.1,270000.0,0.9,12.506180941677355,2024,8,8,2,2,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,27,7.5,4.0,25,15,110.0,0.11,0.17,0.28,0.14,13.0,0.9,0.9,0.6418538861723948,2022,10,11,0,0,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,7.5,5.0,27,20,123.0,0.06,0.89,0.38,0.26,21.0,680.0,9.9,6.523562306149512,2025,7,17,2,2,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,8.3,4.0,23,25,156.0,0.544,0.73,1.67,0.24,28.8,320.0,0.9,5.771441123130016,2022,8,30,1,1,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.5,4.0,29,30,145.0,0.05,0.64,0.12,0.12,14.0,6200.0,9.9,8.732465848349879,2025,7,31,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,7.1,3.5,23,25,133.0,0.115,0.189,1.23,0.195,12.5,0.9,0.9,0.6418538861723948,2022,11,22,0,0,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,29,7.6,3.0,21,25,151.0,0.122,0.16,0.28,0.14,11.9,0.9,0.9,0.6418538861723948,2022,9,20,0,0,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,8.0,5.0,28,25,123.0,0.09,0.95,0.08,0.14,16.0,100.0,9.9,4.61512051684126,2025,7,31,1,1,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,27,7.4,3.5,25,25,125.0,0.108,0.16,0.31,0.12,11.1,0.9,0.9,0.6418538861723948,2022,4,10,0,0,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,7.8,5.0,27,30,127.5,0.08,0.81,0.11,0.0,21.0,180.0,9.9,5.198497031265826,2025,7,10,1,1,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,7.7,3.5,19,20,106.0,0.019,0.352,0.572,0.0,10.4,31000.0,0.9,10.34177474101152,2024,8,15,2,2,1,1
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,7.2,4.0,24,20,133.0,0.11,0.17,0.27,0.12,10.1,0.9,0.9,0.6418538861723948,2022,4,10,0,0,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,7.6,5.0,18,15,89.2,0.088,0.179,1.15,0.121,20.8,65000.0,0.9,11.082157933374816,2024,8,8,2,2,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.3,4.0,19,25,112.0,0.14,0.62,1.12,0.2,27.0,410.0,9.9,6.018593214496234,2023,10,5,2,2,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,7.5,4.0,24,30,127.0,0.03,0.95,0.0,0.0,16.0,3500.0,9.9,8.160803920954665,2025,9,25,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,8.0,4.5,28,25,152.5,0.6,1.58,2.24,0.14,23.0,9.9,9.9,2.388762789235098,2023,6,22,0,0,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,30,8.0,3.5,26,20,133.0,0.023,0.392,0.548,0.023,12.2,9000.0,0.9,9.105090961257083,2024,7,4,2,2,1,1
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,8.0,4.0,18,20,55.0,0.04,0.62,0.43,0.0,21.0,9.9,9.9,2.388762789235098,2023,8,31,0,0,1,1
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,29,7.9,4.0,23,20,130.0,0.148,0.2,0.28,0.15,10.9,0.9,0.9,0.6418538861723948,2022,9,13,0,0,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,29,8.4,5.0,25,25,106.0,0.026,0.17,0.783,0.038,21.3,5100.0,0.9,8.537191877922927,2024,12,12,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,7.4,4.0,21,25,85.0,0.06,0.74,0.73,0.1,18.0,9.9,9.9,2.388762789235098,2023,7,19,0,0,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,29,8.1,5.0,24,15,138.0,0.378,0.42,0.34,0.15,13.7,0.9,0.9,0.6418538861723948,2022,8,23,0,0,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,8.4,4.0,29,25,121.0,0.06,0.66,0.09,0.1,15.0,1100.0,9.9,7.00397413672268,2025,7,31,2,2,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,8.5,4.0,22,20,93.0,0.03,0.45,0.91,0.06,20.0,50.0,9.9,3.9318256327243257,2023,11,23,0,0,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,29,8.6,3.0,22,15,104.0,0.1,0.86,0.69,0.0,24.0,150.0,9.9,5.017279836814924,2023,8,3,1,1,1,1
Sông Rạch Gốc,Sông Rạch Gốc,Ngọc Hiển,28,7.8,3.5,26,15,106.0,0.017,0.14,0.57,0.13,20.3,0.9,0.9,0.6418538861723948,2023,7,12,0,0,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.8,3.5,24,25,118.0,0.02,0.22,0.4,0.06,14.1,42.0,0.9,3.7612001156935615,2022,10,25,0,0,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,8.0,3.5,20,20,119.0,0.09,0.55,1.17,0.22,30.0,1500.0,9.9,7.313886831633462,2023,10,5,2,2,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,7.9,5.0,29,20,125.0,0.52,1.97,2.0,0.12,41.0,9.9,9.9,2.388762789235098,2023,6,22,0,0,1,1
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,8.3,4.0,19,25,110.0,0.71,1.72,0.73,0.74,24.0,1400.0,9.9,7.244941546337007,2023,8,24,2,2,1,1
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,8.5,5.0,23,20,111.0,0.069,0.283,1.24,0.073,22.8,2000.0,0.9,7.601402334583733,2024,11,29,2,2,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,27,8.0,5.0,20,20,88.6,0.177,0.345,0.621,0.047,16.1,4300.0,0.9,8.366602832783736,2024,11,6,2,2,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,8.4,4.0,21,20,121.0,0.163,0.325,0.747,0.043,21.9,32000.0,0.9,10.373522431293592,2024,12,6,2,2,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,27,8.2,4.0,22,15,109.0,0.17,0.89,0.63,0.08,30.0,9.9,9.9,2.388762789235098,2023,10,19,0,0,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,26,7.2,4.0,17,20,114.0,0.366,0.551,2.16,0.083,24.9,170000.0,0.9,12.04355959836804,2023,10,3,2,2,1,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,29,7.9,3.5,20,25,101.0,0.1,0.67,1.1,0.06,17.0,3400.0,9.9,8.131824785007195,2023,11,9,2,2,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,26,7.0,5.0,16,20,109.0,0.192,0.384,1.09,0.043,25.9,17000.0,0.9,9.741027444837728,2024,9,19,2,2,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.6,4.0,22,25,135.0,0.142,0.16,0.31,0.17,14.8,0.9,0.9,0.6418538861723948,2022,9,13,0,0,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,8.4,3.5,20,20,116.0,0.03,0.59,1.22,0.0,20.0,700.0,9.9,6.55250788703459,2023,9,21,2,2,1,1
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,27,7.5,4.0,25,25,136.0,0.12,0.74,0.0,0.07,32.0,830.0,9.9,6.7226297948554485,2025,8,28,2,2,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,29,7.5,4.0,23,25,148.0,0.13,0.18,0.28,0.12,10.6,26.0,0.9,3.295836866004329,2022,9,20,0,0,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,29,7.9,5.0,16,20,126.0,0.146,0.566,1.05,0.084,18.2,14000.0,0.9,9.546884034617923,2024,10,30,2,2,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,29,8.0,5.0,25,20,114.0,0.081,0.456,0.606,0.021,12.4,33000.0,0.9,10.404293143019792,2024,7,4,2,2,2,1
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,27,7.2,5.0,29,15,119.0,0.124,0.429,1.61,0.094,24.6,9000.0,0.9,9.105090961257083,2024,8,29,2,2,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,7.1,2.5,15,20,113.0,0.259,0.722,1.02,0.078,25.7,8900.0,0.9,9.093918908958932,2024,10,10,2,2,1,1
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,29,7.8,4.5,22,25,115.0,0.0,0.78,0.82,0.24,24.0,400.0,9.9,5.993961427306569,2023,7,13,1,1,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.0,4.0,24,20,136.0,0.037,0.2,0.32,0.19,9.76,54.0,0.9,4.007333185232471,2022,8,16,1,1,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,7.2,3.5,14,20,119.0,0.376,0.453,1.38,0.056,27.7,8100.0,0.9,8.999742789830492,2024,10,10,2,2,1,2
